waterstof H
helium He
lithium Li
beryllium Be
boor B
koolstof C
stikstof N
zuurstof O
fluor F
neon Ne
natrium Na
magnesium Mg
aluminium Al
silicium Si
fosfor P
zwavel S
chloor Cl
argon Ar
kalium K
calcium Ca
scandium Sc
titanium Ti
vanadium V
chroom Cr
mangaan Mn
ijzer Fe
kobalt Co
nikkel Ni
koper Cu
zink Zn
gallium Ga
germanium Ge
arsenicum As
selenium Se
broom Br
krypton Kr
rubidium Rb
strontium Sr
yttrium Y
zirkonium Zr
niobium Nb
molybdenium Mo
technetium Tc
ruthenium Ru
rodium Rh
palladium Pd
zilver Ag
cadmium Cd
indium In
tin Sn
antimoon Sb
tellurium Te
jodium I
xenon Xe
cesium Cs
barium Ba
lanthaan La
cerium Ce
praseodymium Pr
neodymium Nd
promethium Pm
samarium Sm
europium Eu
gadolinium Gd
terbium Tb
dysprosium Dy
holmium Ho
erbium Er
thulium Tm
ytterbium Yb
lutetium Lu
hafnium Hf
tantalium Ta
wolfraam W
renium Re
osmium Os
iridium Ir
platina Pt
goud Au
kwik Hg
thallium Tl
lood Pb
bismut Bi
polonium Po
astaat At
radon Rn
francium Fr
radium Ra
actinium Ac
thorium Th
protactinium Pa
uranium U
neptunium Np
plutonium Pu
